DictionaryName,Code,Name,Domain,,
CPT,211,Anesthesia for intracranial procedures; craniotomy or craniectomy for evacuation of hematoma,CARE,,
CPT,212,Anesthesia for intracranial procedures; subdural taps,CARE,,
CPT,214,"Anesthesia for intracranial procedures; burr holes, including ventriculography",CARE,,
CPT,215,"Anesthesia for intracranial procedures; cranioplasty or elevation of depressed skull fracture, extradural (simple or compound)",CARE,,
CPT,216,Anesthesia for intracranial procedures; vascular procedures,CARE,,
CPT,218,Anesthesia for intracranial procedures; procedures in sitting position,CARE,,
CPT,220,Anesthesia for intracranial procedures; cerebrospinal fluid shunting procedures,CARE,,
CPT,222,Anesthesia for intracranial procedures; electrocoagulation of intracranial nerve,CARE,,
CPT,300,"Anesthesia for all procedures on the integumentary system, muscles and nerves of head, neck, and posterior trunk, not otherwise specified",CARE,,
CPT,0030T,"Antiprothrombin (phospholipid cofactor) antibody, each Ig class",CARE,,
CPT,320,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; not otherwise specified, age 1 year or older",CARE,,
CPT,322,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; needle biopsy of thyroid",CARE,,
CPT,326,Anesthesia for all procedures on the larynx and trachea in children younger than 1 year of age,CARE,,
CPT,350,Anesthesia for procedures on major vessels of neck; not otherwise specified,CARE,,
CPT,352,Anesthesia for procedures on major vessels of neck; simple ligation,CARE,,
CPT,400,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; not otherwise specified",CARE,,
CPT,402,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; reconstructive procedures on breast (eg, reduction or augmentation mammoplasty, muscle flaps)",CARE,,
CPT,404,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast",CARE,,
CPT,406,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast with internal mammary node dissection",CARE,,
CPT,410,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; electrical conversion of arrhythmias",CARE,,
CPT,0042T,"Cerebral perfusion analysis using computed tomography with contrast administration, including post-processing of parametric maps with determination of cerebral blood flow, cerebral blood volume, and mean transit time",CARE,,
CPT,450,Anesthesia for procedures on clavicle and scapula; not otherwise specified,CARE,,
CPT,452,Anesthesia for procedures on clavicle and scapula; radical surgery,CARE,,
CPT,454,Anesthesia for procedures on clavicle and scapula; biopsy of clavicle,CARE,,
CPT,470,Anesthesia for partial rib resection; not otherwise specified,CARE,,
CPT,472,Anesthesia for partial rib resection; thoracoplasty (any type),CARE,,
CPT,474,"Anesthesia for partial rib resection; radical procedures (eg, pectus excavatum)",CARE,,
CPT,0048T,"Implantation of a ventricular assist device, extracorporeal, percutaneous transseptal access, single or dual cannulation",CARE,,
CPT,500,Anesthesia for all procedures on esophagus,CARE,,
CPT,0050T,"Removal of a ventricular assist device, extracorporeal, percutaneous transseptal access, single or dual cannulation",CARE,,
CPT,0051T,Implantation of a total replacement heart system (artificial heart) with recipient cardiectomy,CARE,,
CPT,520,Anesthesia for closed chest procedures; (including bronchoscopy) not otherwise specified,CARE,,
CPT,522,Anesthesia for closed chest procedures; needle biopsy of pleura,CARE,,
CPT,524,Anesthesia for closed chest procedures; pneumocentesis,CARE,,
CPT,528,Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy not utilizing 1 lung ventilation,CARE,,
CPT,529,Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy utilizing 1 lung ventilation,CARE,,
CPT,0052T,Replacement or repair of thoracic unit of a total replacement heart system (artificial heart),CARE,,
CPT,530,Anesthesia for permanent transvenous pacemaker insertion,CARE,,
CPT,532,Anesthesia for access to central venous circulation,CARE,,
CPT,534,Anesthesia for transvenous insertion or replacement of pacing cardioverter-defibrillator,CARE,,
CPT,537,Anesthesia for cardiac electrophysiologic procedures including radiofrequency ablation,CARE,,
CPT,539,Anesthesia for tracheobronchial reconstruction,CARE,,
CPT,0053T,"Replacement or repair of implantable component or components of total replacement heart system (artificial heart), excluding thoracic unit",CARE,,
CPT,540,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); not otherwise specified",CARE,,
CPT,541,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); utilizing 1 lung ventilation",CARE,,
CPT,542,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); decortication",CARE,,
CPT,546,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); pulmonary resection with thoracoplasty",CARE,,
CPT,548,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); intrathoracic procedures on the trachea and bronchi",CARE,,
CPT,0054T,"Computer-assisted musculoskeletal surgical navigational orthopedic procedure, with image-guidance based on fluoroscopic images (List separately in addition to code for primary procedure)",CARE,,
CPT,550,Anesthesia for sternal debridement,CARE,,
CPT,0055T,"Computer-assisted musculoskeletal surgical navigational orthopedic procedure, with image-guidance based on CT/MRI images (List separately in addition to code for primary procedure)",CARE,,
CPT,560,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; without pump oxygenator",CARE,,
CPT,561,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, younger than 1 year of age",CARE,,
CPT,562,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, age 1 year or older, for all non-coronary bypass procedures (eg, valve procedures) or for re-operation for coronary bypass more than 1 month after original operation",CARE,,
CPT,563,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator with hypothermic circulatory arrest",CARE,,
CPT,566,Anesthesia for direct coronary artery bypass grafting; without pump oxygenator,CARE,,
CPT,567,Anesthesia for direct coronary artery bypass grafting; with pump oxygenator,CARE,,
CPT,580,Anesthesia for heart transplant or heart/lung transplant,CARE,,
CPT,0058T,Cryopreservation ovary tiss,CARE,,
CPT,0059T,Cryopreservation oocyte,CARE,,
CPT,600,Anesthesia for procedures on cervical spine and cord; not otherwise specified,CARE,,
CPT,604,Anesthesia for procedures on cervical spine and cord; procedures with patient in the sitting position,CARE,,
CPT,620,Anesthesia for procedures on thoracic spine and cord; not otherwise specified,CARE,,
CPT,622,Anesthesia for procedures on thoracic spine and cord; thoracolumbar sympathectomy,CARE,,
CPT,625,"Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; not utilizing 1 lung ventilation",CARE,,
CPT,626,"Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; utilizing 1 lung ventilation",CARE,,
CPT,630,Anesthesia for procedures in lumbar region; not otherwise specified,CARE,,
CPT,632,Anesthesia for procedures in lumbar region; lumbar sympathectomy,CARE,,
CPT,634,Anesthesia for procedures in lumbar region; chemonucleolysis,CARE,,
CPT,635,Anesthesia for procedures in lumbar region; diagnostic or therapeutic lumbar puncture,CARE,,
CPT,640,"Anesthesia for manipulation of the spine or for closed procedures on the cervical, thoracic or lumbar spine",CARE,,
CPT,670,"Anesthesia for extensive spine and spinal cord procedures (eg, spinal instrumentation or vascular procedures)",CARE,,
CPT,700,Anesthesia for procedures on upper anterior abdominal wall; not otherwise specified,CARE,,
CPT,702,Anesthesia for procedures on upper anterior abdominal wall; percutaneous liver biopsy,CARE,,
CPT,0071T,"Focused ultrasound ablation of uterine leiomyomata, including MR guidance; total leiomyomata volume less than 200 cc of tissue",CARE,,
CPT,0072T,"Focused ultrasound ablation of uterine leiomyomata, including MR guidance; total leiomyomata volume greater or equal to 200 cc of tissue",CARE,,
CPT,730,Anesthesia for procedures on upper posterior abdominal wall,CARE,,
CPT,0073T,"Compensator-based beam modulation treatment delivery of inverse planned treatment using 3 or more high resolution (milled or cast) compensator convergent beam modulated fields, per treatment session",CARE,,
CPT,740,"Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum",CARE,,
CPT,750,Anesthesia for hernia repairs in upper abdomen; not otherwise specified,CARE,,
CPT,752,Anesthesia for hernia repairs in upper abdomen; lumbar and ventral (incisional) hernias and/or wound dehiscence,CARE,,
CPT,754,Anesthesia for hernia repairs in upper abdomen; omphalocele,CARE,,
CPT,756,Anesthesia for hernia repairs in upper abdomen; transabdominal repair of diaphragmatic hernia,CARE,,
CPT,0075T,"Transcatheter placement of extracranial vertebral or intrathoracic carotid artery stent(s), including radiologic supervision and interpretation, percutaneous; initial vessel",CARE,,
CPT,0076T,"Transcatheter placement of extracranial vertebral or intrathoracic carotid artery stent(s), including radiologic supervision and interpretation, percutaneous; each additional vessel (List separately in addition to code for primary procedure)",CARE,,
CPT,770,Anesthesia for all procedures on major abdominal blood vessels,CARE,,
CPT,0078T,"Endovascular repair using prosthesis of abdominal aortic aneurysm, pseudoaneurysm or dissection, abdominal aorta involving visceral branches (superior mesenteric, celiac and/or renal artery[s])",CARE,,
CPT,790,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; not otherwise specified,CARE,,
CPT,792,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; partial hepatectomy or management of liver hemorrhage (excluding liver biopsy),CARE,,
CPT,794,"Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; pancreatectomy, partial or total (eg, Whipple procedure)",CARE,,
CPT,796,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; liver transplant (recipient),CARE,,
CPT,797,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; gastric restrictive procedure for morbid obesity,CARE,,
CPT,0079T,"Placement of visceral extension prosthesis for endovascular repair of abdominal aortic aneurysm involving visceral vessels, each visceral branch (List separately in addition to code for primary procedure)",CARE,,
CPT,800,Anesthesia for procedures on lower anterior abdominal wall; not otherwise specified,CARE,,
CPT,802,Anesthesia for procedures on lower anterior abdominal wall; panniculectomy,CARE,,
CPT,0080T,"Endovascular repair of abdominal aortic aneurysm, pseudoaneurysm or dissection, abdominal aorta involving visceral vessels (superior mesenteric, celiac or renal), using fenestrated modular bifurcated prosthesis (2 docking limbs), radiological supervision and interpretation",CARE,,
CPT,810,"Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum",CARE,,
CPT,0081T,"Placement of visceral extension prosthesis for endovascular repair of abdominal aortic aneurysm involving visceral vessels, each visceral branch, radiological supervision and interpretation (List separately in addition to code for primary procedure)",CARE,,
CPT,820,Anesthesia for procedures on lower posterior abdominal wall,CARE,,
CPT,830,Anesthesia for hernia repairs in lower abdomen; not otherwise specified,CARE,,
CPT,832,Anesthesia for hernia repairs in lower abdomen; ventral and incisional hernias,CARE,,
CPT,834,"Anesthesia for hernia repairs in the lower abdomen not otherwise specified, younger than 1 year of age",CARE,,
CPT,836,"Anesthesia for hernia repairs in the lower abdomen not otherwise specified, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery",CARE,,
CPT,840,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; not otherwise specified,CARE,,
CPT,842,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; amniocentesis,CARE,,
CPT,844,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; abdominoperineal resection,CARE,,
CPT,846,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; radical hysterectomy,CARE,,
CPT,848,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; pelvic exenteration,CARE,,
CPT,851,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; tubal ligation/transection,CARE,,
CPT,0085T,Breath test for heart transplant rejection,CARE,,
CPT,860,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; not otherwise specified",CARE,,
CPT,862,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal procedures, including upper one-third of ureter, or donor nephrectomy",CARE,,
CPT,864,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; total cystectomy",CARE,,
CPT,865,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; radical prostatectomy (suprapubic, retropubic)",CARE,,
CPT,866,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; adrenalectomy",CARE,,
CPT,868,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal transplant (recipient)",CARE,,
CPT,870,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; cystolithotomy",CARE,,
CPT,872,"Anesthesia for lithotripsy, extracorporeal shock wave; with water bath",CARE,,
CPT,873,"Anesthesia for lithotripsy, extracorporeal shock wave; without water bath",CARE,,
CPT,880,Anesthesia for procedures on major lower abdominal vessels; not otherwise specified,CARE,,
CPT,882,Anesthesia for procedures on major lower abdominal vessels; inferior vena cava ligation,CARE,,
CPT,902,Anesthesia for anorectal procedure,CARE,,
CPT,904,Anesthesia for radical perineal procedure,CARE,,
CPT,906,Anesthesia for vulvectomy,CARE,,
CPT,908,Anesthesia for perineal prostatectomy,CARE,,
CPT,910,Anesthesia for transurethral procedures (including urethrocystoscopy); not otherwise specified,CARE,,
CPT,912,Anesthesia for transurethral procedures (including urethrocystoscopy); transurethral resection of bladder tumor(s),CARE,,
CPT,914,Anesthesia for transurethral procedures (including urethrocystoscopy); transurethral resection of prostate,CARE,,
CPT,916,Anesthesia for transurethral procedures (including urethrocystoscopy); post-transurethral resection bleeding,CARE,,
CPT,918,"Anesthesia for transurethral procedures (including urethrocystoscopy); with fragmentation, manipulation and/or removal of ureteral calculus",CARE,,
CPT,920,Anesthesia for procedures on male genitalia (including open urethral procedures); not otherwise specified,CARE,,
CPT,921,"Anesthesia for procedures on male genitalia (including open urethral procedures); vasectomy, unilateral or bilateral",CARE,,
CPT,922,Anesthesia for procedures on male genitalia (including open urethral procedures); seminal vesicles,CARE,,
CPT,924,"Anesthesia for procedures on male genitalia (including open urethral procedures); undescended testis, unilateral or bilateral",CARE,,
CPT,926,"Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, inguinal",CARE,,
CPT,928,"Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, abdominal",CARE,,
CPT,0092T,"Total disc arthroplasty (artificial disc), anterior approach, including discectomy with end plate preparation (includes osteophytectomy for nerve root or spinal cord decompression and microdissection), each additional interspace, cervical (List separately in addition to code for primary procedure)",CARE,,
CPT,930,"Anesthesia for procedures on male genitalia (including open urethral procedures); orchiopexy, unilateral or bilateral",CARE,,
CPT,932,Anesthesia for procedures on male genitalia (including open urethral procedures); complete amputation of penis,CARE,,
CPT,934,Anesthesia for procedures on male genitalia (including open urethral procedures); radical amputation of penis with bilateral inguinal lymphadenectomy,CARE,,
CPT,936,Anesthesia for procedures on male genitalia (including open urethral procedures); radical amputation of penis with bilateral inguinal and iliac lymphadenectomy,CARE,,
CPT,938,Anesthesia for procedures on male genitalia (including open urethral procedures); insertion of penile prosthesis (perineal approach),CARE,,
CPT,940,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); not otherwise specified",CARE,,
CPT,942,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); colpotomy, vaginectomy, colporrhaphy, and open urethral procedures",CARE,,
CPT,944,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); vaginal hysterectomy",CARE,,
CPT,948,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); cervical cerclage",CARE,,
CPT,950,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); culdoscopy",CARE,,
CPT,952,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); hysteroscopy and/or hysterosalpingography",CARE,,
CPT,0095T,"Removal of total disc arthroplasty (artificial disc), anterior approach, each additional interspace, cervical (List separately in addition to code for primary procedure)",CARE,,
CPT,0098T,"Revision including replacement of total disc arthroplasty (artificial disc), anterior approach, each additional interspace, cervical (List separately in addition to code for primary procedure)",CARE,,
CPT,0099T,Implantation of intrastromal corneal ring segments,CARE,,
CPT,0100T,"Placement of a subconjunctival retinal prosthesis receiver and pulse generator, and implantation of intra-ocular retinal electrode array, with vitrectomy",CARE,,
CPT,0101T,"Extracorporeal shock wave involving musculoskeletal system, not otherwise specified, high energy",CARE,,
CPT,0102T,"Extracorporeal shock wave, high energy, performed by a physician, requiring anesthesia other than local, involving lateral humeral epicondyle",CARE,,
CPT,0103T,"Holotranscobalamin, quantitative",CARE,,
CPT,0104T,Inert gas rebreathing for cardiac output measurement; during rest,CARE,,
CPT,0105T,Inert gas rebreathing for cardiac output measurement; during exercise,CARE,,
CPT,0106T,"Quantitative sensory testing (QST), testing and interpretation per extremity; using touch pressure stimuli to assess large diameter sensation",CARE,,
CPT,0107T,"Quantitative sensory testing (QST), testing and interpretation per extremity; using vibration stimuli to assess large diameter fiber sensation",CARE,,
CPT,0108T,"Quantitative sensory testing (QST), testing and interpretation per extremity; using cooling stimuli to assess small nerve fiber sensation and hyperalgesia",CARE,,
CPT,0109T,"Quantitative sensory testing (QST), testing and interpretation per extremity; using heat-pain stimuli to assess small nerve fiber sensation and hyperalgesia",CARE,,
CPT,0110T,"Quantitative sensory testing (QST), testing and interpretation per extremity; using other stimuli to assess sensation",CARE,,
CPT,1112,"Anesthesia for bone marrow aspiration and/or biopsy, anterior or posterior iliac crest",CARE,,
CPT,0111T,Long-chain (C20-22) omega-3 fatty acids in red blood cell (RBC) membranes,CARE,,
CPT,1120,Anesthesia for procedures on bony pelvis,CARE,,
CPT,1130,Anesthesia for body cast application or revision,CARE,,
CPT,1140,Anesthesia for interpelviabdominal (hindquarter) amputation,CARE,,
CPT,1150,"Anesthesia for radical procedures for tumor of pelvis, except hindquarter amputation",CARE,,
CPT,1160,Anesthesia for closed procedures involving symphysis pubis or sacroiliac joint,CARE,,
CPT,1170,Anesthesia for open procedures involving symphysis pubis or sacroiliac joint,CARE,,
CPT,1173,Anesthesia for open repair of fracture disruption of pelvis or column fracture involving acetabulum,CARE,,
CPT,1180,Anesthesia for obturator neurectomy; extrapelvic,CARE,,
CPT,1190,Anesthesia for obturator neurectomy; intrapelvic,CARE,,
CPT,1200,Anesthesia for all closed procedures involving hip joint,CARE,,
CPT,1202,Anesthesia for arthroscopic procedures of hip joint,CARE,,
CPT,1210,Anesthesia for open procedures involving hip joint; not otherwise specified,CARE,,
CPT,1212,Anesthesia for open procedures involving hip joint; hip disarticulation,CARE,,
CPT,1214,Anesthesia for open procedures involving hip joint; total hip arthroplasty,CARE,,
CPT,1215,Anesthesia for open procedures involving hip joint; revision of total hip arthroplasty,CARE,,
CPT,1220,Anesthesia for all closed procedures involving upper two-thirds of femur,CARE,,
CPT,1230,Anesthesia for open procedures involving upper two-thirds of femur; not otherwise specified,CARE,,
CPT,1232,Anesthesia for open procedures involving upper two-thirds of femur; amputation,CARE,,
CPT,1234,Anesthesia for open procedures involving upper two-thirds of femur; radical resection,CARE,,
CPT,0123T,"Fistulization of sclera for glaucoma, through ciliary body",CARE,,
CPT,0124T,Conjunctival incision with posterior extrascleral placement of pharmacological agent (does not include supply of medication),CARE,,
CPT,1250,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of upper leg",CARE,,
CPT,1260,"Anesthesia for all procedures involving veins of upper leg, including exploration",CARE,,
CPT,0126T,Common carotid intima-media thickness (IMT) study for evaluation of atherosclerotic burden or coronary heart disease risk factor assessment,CARE,,
CPT,1270,"Anesthesia for procedures involving arteries of upper leg, including bypass graft; not otherwise specified",CARE,,
CPT,1272,"Anesthesia for procedures involving arteries of upper leg, including bypass graft; femoral artery ligation",CARE,,
CPT,1274,"Anesthesia for procedures involving arteries of upper leg, including bypass graft; femoral artery embolectomy",CARE,,
CPT,0130T,"Validated, statistically reliable, randomized, controlled, single-patient clinical investigation of FDA approved chronic care drugs, provided by a pharmacist, interpretation and report to the prescribing health care professional",CARE,,
CPT,1320,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of knee and/or popliteal area",CARE,,
CPT,1340,Anesthesia for all closed procedures on lower one-third of femur,CARE,,
CPT,1360,Anesthesia for all open procedures on lower one-third of femur,CARE,,
CPT,1380,Anesthesia for all closed procedures on knee joint,CARE,,
CPT,1382,Anesthesia for diagnostic arthroscopic procedures of knee joint,CARE,,
CPT,1390,"Anesthesia for all closed procedures on upper ends of tibia, fibula, and/or patella",CARE,,
CPT,1392,"Anesthesia for all open procedures on upper ends of tibia, fibula, and/or patella",CARE,,
CPT,1400,Anesthesia for open or surgical arthroscopic procedures on knee joint; not otherwise specified,CARE,,
CPT,1402,Anesthesia for open or surgical arthroscopic procedures on knee joint; total knee arthroplasty,CARE,,
CPT,1404,Anesthesia for open or surgical arthroscopic procedures on knee joint; disarticulation at knee,CARE,,
CPT,0141T,"Pancreatic islet cell transplantation through portal vein, percutaneous",CARE,,
CPT,1420,"Anesthesia for all cast applications, removal, or repair involving knee joint",CARE,,
CPT,0142T,"Pancreatic islet cell transplantation through portal vein, open",CARE,,
CPT,1430,Anesthesia for procedures on veins of knee and popliteal area; not otherwise specified,CARE,,
CPT,1432,Anesthesia for procedures on veins of knee and popliteal area; arteriovenous fistula,CARE,,
CPT,0143T,"Laparoscopy, surgical, pancreatic islet cell transplantation through portal vein",CARE,,
CPT,1440,Anesthesia for procedures on arteries of knee and popliteal area; not otherwise specified,CARE,,
CPT,1442,"Anesthesia for procedures on arteries of knee and popliteal area; popliteal thromboendarterectomy, with or without patch graft",CARE,,
CPT,1444,Anesthesia for procedures on arteries of knee and popliteal area; popliteal excision and graft or repair for occlusion or aneurysm,CARE,,
CPT,1462,"Anesthesia for all closed procedures on lower leg, ankle, and foot",CARE,,
CPT,1464,Anesthesia for arthroscopic procedures of ankle and/or foot,CARE,,
CPT,1470,"Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; not otherwise specified",CARE,,
CPT,1472,"Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; repair of ruptured Achilles tendon, with or without graft",CARE,,
CPT,1474,"Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; gastrocnemius recession (eg, Strayer procedure)",CARE,,
CPT,1480,"Anesthesia for open procedures on bones of lower leg, ankle, and foot; not otherwise specified",CARE,,
CPT,1482,"Anesthesia for open procedures on bones of lower leg, ankle, and foot; radical resection (including below knee amputation)",CARE,,
CPT,1484,"Anesthesia for open procedures on bones of lower leg, ankle, and foot; osteotomy or osteoplasty of tibia and/or fibula",CARE,,
CPT,1486,"Anesthesia for open procedures on bones of lower leg, ankle, and foot; total ankle replacement",CARE,,
CPT,1490,"Anesthesia for lower leg cast application, removal, or repair",CARE,,
CPT,1500,"Anesthesia for procedures on arteries of lower leg, including bypass graft; not otherwise specified",CARE,,
CPT,1502,"Anesthesia for procedures on arteries of lower leg, including bypass graft; embolectomy, direct or with catheter",CARE,,
CPT,1520,Anesthesia for procedures on veins of lower leg; not otherwise specified,CARE,,
CPT,1522,"Anesthesia for procedures on veins of lower leg; venous thrombectomy, direct or with catheter",CARE,,
CPT,0155T,"Laparoscopy, surgical; implantation or replacement of gastric stimulation electrodes, lesser curvature (ie, morbid obesity)",CARE,,
CPT,0156T,"Laparoscopy, surgical; revision or removal of gastric stimulation electrodes, lesser curvature (ie, morbid obesity)",CARE,,
CPT,0157T,"Laparotomy, implantation or replacement of gastric stimulation electrodes, lesser curvature (ie, morbid obesity)",CARE,,
CPT,0158T,"Laparotomy, revision or removal of gastric stimulation electrodes, lesser curvature (ie, morbid obesity)",CARE,,
CPT,0159T,"Computer-aided detection, including computer algorithm analysis of MRI image data for lesion detection/characterization, pharmacokinetic analysis, with further physician review for interpretation, breast MRI (List separately in addition to code for primary procedure)",CARE,,
CPT,0160T,Therapeutic repetitive transcranial magnetic stimulation treatment planning,CARE,,
CPT,1610,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of shoulder and axilla",CARE,,
CPT,0161T,"Therapeutic repetitive transcranial magnetic stimulation treatment delivery and management, per session",CARE,,
CPT,1620,"Anesthesia for all closed procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint",CARE,,
